alphaRuns,lambdas,run
,0.1,0
,0.1,1
,0.1,2
,0.1,3
,0.1,4
,0.1,5
,0.1,6
,0.1,7
,0.1,8
,0.1,9
,0.1,10
,0.1,11
,0.1,12
,0.1,13
,0.1,14
,0.1,15
,0.1,16
,0.1,17
,0.1,18
,0.1,19
,0.1,20
,0.1,21
,0.1,22
,0.1,23
,0.1,24
,0.1,25
,0.1,26
,0.1,27
,0.1,28
,0.1,29
,0.1,30
,0.1,31
,0.1,32
,0.1,33
,0.1,34
,0.1,35
,0.1,36
,0.1,37
,0.1,38
,0.1,39
,0.11,0
,0.11,1
,0.11,2
,0.11,3
,0.11,4
,0.11,5
,0.11,6
,0.11,7
,0.11,8
,0.11,9
,0.11,10
,0.11,11
,0.11,12
,0.11,13
,0.11,14
,0.11,15
,0.11,16
,0.11,17
,0.11,18
,0.11,19
,0.11,20
,0.11,21
,0.11,22
,0.11,23
,0.11,24
,0.11,25
,0.11,26
,0.11,27
,0.11,28
,0.11,29
,0.11,30
,0.11,31
,0.11,32
,0.11,33
,0.11,34
,0.11,35
,0.11,36
,0.11,37
,0.11,38
,0.11,39
,0.12,0
,0.12,1
,0.12,2
,0.12,3
,0.12,4
,0.12,5
,0.12,6
,0.12,7
,0.12,8
,0.12,9
,0.12,10
,0.12,11
,0.12,12
,0.12,13
,0.12,14
,0.12,15
,0.12,16
,0.12,17
,0.12,18
,0.12,19
,0.12,20
,0.12,21
,0.12,22
,0.12,23
,0.12,24
,0.12,25
,0.12,26
,0.12,27
,0.12,28
0.011012083447412863,0.12,29
,0.12,30
,0.12,31
,0.12,32
,0.12,33
,0.12,34
,0.12,35
,0.12,36
,0.12,37
,0.12,38
,0.12,39
,0.13,0
,0.13,1
,0.13,2
,0.13,3
,0.13,4
0.008312123847203423,0.13,5
,0.13,6
,0.13,7
0.039226338389410045,0.13,8
,0.13,9
,0.13,10
,0.13,11
,0.13,12
0.003211110023051522,0.13,13
,0.13,14
,0.13,15
,0.13,16
0.06107985872565064,0.13,17
,0.13,18
0.00048428635156021194,0.13,19
,0.13,20
,0.13,21
,0.13,22
,0.13,23
0.003180992621088341,0.13,24
,0.13,25
,0.13,26
,0.13,27
,0.13,28
,0.13,29
,0.13,30
,0.13,31
,0.13,32
,0.13,33
,0.13,34
,0.13,35
,0.13,36
-0.008947811320045934,0.13,37
,0.13,38
,0.13,39
,0.13999999999999999,0
,0.13999999999999999,1
,0.13999999999999999,2
,0.13999999999999999,3
0.018665013643450246,0.13999999999999999,4
,0.13999999999999999,5
0.014936058161904048,0.13999999999999999,6
,0.13999999999999999,7
,0.13999999999999999,8
,0.13999999999999999,9
,0.13999999999999999,10
,0.13999999999999999,11
,0.13999999999999999,12
0.039746695855544883,0.13999999999999999,13
,0.13999999999999999,14
,0.13999999999999999,15
,0.13999999999999999,16
,0.13999999999999999,17
,0.13999999999999999,18
,0.13999999999999999,19
,0.13999999999999999,20
,0.13999999999999999,21
,0.13999999999999999,22
,0.13999999999999999,23
,0.13999999999999999,24
,0.13999999999999999,25
,0.13999999999999999,26
,0.13999999999999999,27
,0.13999999999999999,28
,0.13999999999999999,29
,0.13999999999999999,30
,0.13999999999999999,31
,0.13999999999999999,32
-0.015938006268488736,0.13999999999999999,33
,0.13999999999999999,34
,0.13999999999999999,35
,0.13999999999999999,36
,0.13999999999999999,37
,0.13999999999999999,38
,0.13999999999999999,39
0.008006522616343437,0.14999999999999997,0
,0.14999999999999997,1
,0.14999999999999997,2
0.008804694368432495,0.14999999999999997,3
,0.14999999999999997,4
0.003799601911106079,0.14999999999999997,5
,0.14999999999999997,6
,0.14999999999999997,7
,0.14999999999999997,8
0.0531030074038599,0.14999999999999997,9
,0.14999999999999997,10
,0.14999999999999997,11
,0.14999999999999997,12
,0.14999999999999997,13
,0.14999999999999997,14
,0.14999999999999997,15
,0.14999999999999997,16
,0.14999999999999997,17
,0.14999999999999997,18
,0.14999999999999997,19
,0.14999999999999997,20
0.03451801002111446,0.14999999999999997,21
,0.14999999999999997,22
,0.14999999999999997,23
0.04693456452049927,0.14999999999999997,24
0.05746100184409694,0.14999999999999997,25
0.0007471527865339778,0.14999999999999997,26
,0.14999999999999997,27
0.005405345590636879,0.14999999999999997,28
0.024694634493620415,0.14999999999999997,29
,0.14999999999999997,30
,0.14999999999999997,31
,0.14999999999999997,32
-0.006457320885563368,0.14999999999999997,33
,0.14999999999999997,34
,0.14999999999999997,35
0.0016404434299691628,0.14999999999999997,36
,0.14999999999999997,37
,0.14999999999999997,38
,0.14999999999999997,39
,0.15999999999999998,0
,0.15999999999999998,1
,0.15999999999999998,2
0.019067802843960813,0.15999999999999998,3
,0.15999999999999998,4
,0.15999999999999998,5
,0.15999999999999998,6
-0.0025375644229801014,0.15999999999999998,7
,0.15999999999999998,8
0.00981217388911998,0.15999999999999998,9
,0.15999999999999998,10
,0.15999999999999998,11
0.004461194856252099,0.15999999999999998,12
0.005786752370417481,0.15999999999999998,13
,0.15999999999999998,14
0.004406076934554748,0.15999999999999998,15
0.043366371286510594,0.15999999999999998,16
