thsRuns,alphaRuns,lambdas,dilsRuns,run,deltas
0.001,1.3840447704033323,0.1,0.622838,0,10.0
0.001,1.3063021048098795,0.1,0.622838,1,10.0
0.001,1.3326501974065073,0.1,0.622838,2,10.0
0.001,1.2189431571908333,0.1,0.622838,3,10.0
0.001,,0.1,0.622838,4,10.0
0.001,,0.1,0.622838,5,10.0
0.001,1.3050270820963326,0.1,0.622838,6,10.0
0.001,,0.1,0.622838,7,10.0
0.001,,0.1,0.622838,8,10.0
0.001,1.215241093246076,0.1,0.622838,9,10.0
0.001,inf,0.1,0.622838,10,10.0
0.001,1.5054839200263541,0.1,0.622838,11,10.0
0.001,1.3705156767312712,0.1,0.622838,12,10.0
0.001,1.2250894177441598,0.1,0.622838,13,10.0
0.001,,0.1,0.622838,14,10.0
0.001,1.598370372000622,0.1,0.622838,15,10.0
0.001,1.394695454432024,0.1,0.622838,16,10.0
0.001,1.2678048417858752,0.1,0.622838,17,10.0
0.001,1.6073408947878876,0.1,0.622838,18,10.0
0.001,,0.1,0.622838,19,10.0
0.001,1.6224918481406703,0.1,0.622838,20,10.0
0.001,,0.1,0.622838,21,10.0
0.001,1.60123156011263,0.1,0.622838,22,10.0
0.001,1.3179031397986056,0.1,0.622838,23,10.0
0.001,1.2994005135629334,0.1,0.622838,24,10.0
0.001,1.2498459601033927,0.1,0.622838,25,10.0
0.001,1.4202437043884513,0.1,0.622838,26,10.0
0.001,1.023459898250938,0.1,0.622838,27,10.0
0.001,1.2745961279651066,0.1,0.622838,28,10.0
0.001,1.0904589588487228,0.1,0.622838,29,10.0
0.001,1.1376620659897003,0.1,0.622838,30,10.0
0.001,,0.1,0.622838,31,10.0
0.001,1.2898640550543705,0.1,0.622838,32,10.0
0.001,,0.1,0.622838,33,10.0
0.001,1.155374356550747,0.1,0.622838,34,10.0
0.001,1.4045071226233004,0.1,0.622838,35,10.0
0.001,,0.1,0.622838,36,10.0
0.001,1.315102665924922,0.1,0.622838,37,10.0
0.001,1.4458283484814969,0.1,0.622838,38,10.0
0.001,,0.1,0.622838,39,10.0
0.001,0.9549380647151304,0.11,0.689772,0,9.090909090909092
0.001,1.282209283170706,0.11,0.689772,1,9.090909090909092
0.001,1.3558684893481265,0.11,0.689772,2,9.090909090909092
0.001,1.1679068097771956,0.11,0.689772,3,9.090909090909092
0.001,1.2423958426068333,0.11,0.689772,4,9.090909090909092
0.001,1.3754325622762216,0.11,0.689772,5,9.090909090909092
0.001,1.2712889915478476,0.11,0.689772,6,9.090909090909092
0.001,1.4543223201391107,0.11,0.689772,7,9.090909090909092
0.001,1.6438763042056517,0.11,0.689772,8,9.090909090909092
0.001,1.2846603309825961,0.11,0.689772,9,9.090909090909092
0.001,,0.11,0.689772,10,9.090909090909092
0.001,1.2800094810640932,0.11,0.689772,11,9.090909090909092
0.001,1.2216879623960044,0.11,0.689772,12,9.090909090909092
0.001,1.3034832665791232,0.11,0.689772,13,9.090909090909092
0.001,1.122064058970056,0.11,0.689772,14,9.090909090909092
0.001,1.2002600569994595,0.11,0.689772,15,9.090909090909092
0.001,1.717884221701753,0.11,0.689772,16,9.090909090909092
0.001,1.5315040633232688,0.11,0.689772,17,9.090909090909092
