alphaRuns,lambdas,run
1.3829824171082894,0.1,0
1.3074089990236382,0.1,1
1.251396879870802,0.1,2
1.3829824171082894,0.1,3
,0.1,4
,0.1,5
,0.1,6
,0.1,7
,0.1,8
1.3829824171082894,0.1,9
,0.1,10
1.4116719486872662,0.1,11
,0.1,12
1.337393131373305,0.1,13
,0.1,14
,0.1,15
1.337393131373305,0.1,16
,0.1,17
,0.1,18
,0.1,19
,0.1,20
,0.1,21
,0.1,22
,0.1,23
1.337393131373305,0.1,24
1.176135783564178,0.1,25
,0.1,26
,0.1,27
,0.1,28
,0.1,29
,0.1,30
,0.1,31
1.3829824171082894,0.1,32
,0.1,33
1.3866548205823281,0.1,34
,0.1,35
,0.1,36
,0.1,37
1.337393131373305,0.1,38
,0.1,39
,0.11,0
1.3489696712201418,0.11,1
,0.11,2
1.366787117554963,0.11,3
1.2219892185797483,0.11,4
,0.11,5
1.3303330077125521,0.11,6
1.6630523560947998,0.11,7
1.7327694757223362,0.11,8
1.2903396702239327,0.11,9
,0.11,10
,0.11,11
1.2176694078466614,0.11,12
,0.11,13
,0.11,14
,0.11,15
,0.11,16
1.591229416518792,0.11,17
,0.11,18
1.3801733947202846,0.11,19
1.7327694757223362,0.11,20
1.7327694757223362,0.11,21
1.082496984228455,0.11,22
,0.11,23
1.1955423722170544,0.11,24
1.6630523560947998,0.11,25
,0.11,26
,0.11,27
,0.11,28
1.315145988876086,0.11,29
,0.11,30
,0.11,31
,0.11,32
,0.11,33
1.7327694757223362,0.11,34
1.3627811460298624,0.11,35
1.4156270559463437,0.11,36
1.4282340351355045,0.11,37
,0.11,38
,0.11,39
,0.12,0
,0.12,1
,0.12,2
,0.12,3
,0.12,4
1.2638378747406254,0.12,5
1.2489480313996362,0.12,6
1.1545400512783544,0.12,7
1.3805757038248274,0.12,8
1.3160518704527902,0.12,9
1.6348744593137923,0.12,10
,0.12,11
,0.12,12
1.7327694757223362,0.12,13
1.6630523560947998,0.12,14
,0.12,15
,0.12,16
1.4055795720617772,0.12,17
,0.12,18
1.0532253731004249,0.12,19
1.2087418046016727,0.12,20
,0.12,21
1.2861235601343126,0.12,22
,0.12,23
1.7327694757223362,0.12,24
1.332000407320444,0.12,25
,0.12,26
1.3377302508785438,0.12,27
1.6630523560947998,0.12,28
1.30849027847795,0.12,29
1.7047031755645072,0.12,30
1.2600775281215715,0.12,31
,0.12,32
1.6630523560947998,0.12,33
1.2897645194835259,0.12,34
,0.12,35
,0.12,36
,0.12,37
1.7327694757223362,0.12,38
1.096190704351298,0.12,39
1.7889440681117321,0.13,0
1.2086646289874843,0.13,1
,0.13,2
,0.13,3
,0.13,4
1.3582071307336359,0.13,5
1.4792127411423532,0.13,6
1.3645857188827015,0.13,7
1.3988484557412608,0.13,8
1.3211877101265506,0.13,9
1.437521678201466,0.13,10
1.2736624668148342,0.13,11
,0.13,12
1.1874909087121095,0.13,13
1.233630494469487,0.13,14
1.3386158206299084,0.13,15
1.5110036135281635,0.13,16
1.5757799710931641,0.13,17
1.5890982522427637,0.13,18
1.4638821598241392,0.13,19
1.258096495781305,0.13,20
,0.13,21
1.3999590006024305,0.13,22
1.6254170387119629,0.13,23
1.3382886765691206,0.13,24
1.585115728759441,0.13,25
1.481290677885919,0.13,26
1.3041977885648026,0.13,27
1.532259853739801,0.13,28
1.586729399025725,0.13,29
